Date,Staff,Students,Other
2020-10-07,13,821,0
2020-10-08,17,812,0
2020-10-09,18,776,0
2020-10-10,22,695,0
2020-10-11,24,583,1
2020-10-12,23,490,2
2020-10-13,24,427,2
2020-10-14,24,401,2
2020-10-15,26,347,2
2020-10-16,25,305,2
2020-10-17,24,260,3
2020-10-18,21,225,3
2020-10-19,23,210,4
2020-10-20,23,190,4
2020-10-21,24,175,3
2020-10-22,25,158,2
2020-10-23,28,144,2
2020-10-24,28,131,2
2020-10-25,28,114,2
2020-10-26,30,106,2
2020-10-27,31,101,1
2020-10-28,31,101,1
2020-10-29,32,86,0
2020-10-30,30,82,0
2020-10-31,27,71,0
2020-11-01,28,72,0
2020-11-02,26,65,0
2020-11-03,24,62,0
2020-11-04,24,67,0
2020-11-05,23,69,0
2020-11-06,23,69,0
2020-11-07,23,75,0
2020-11-08,20,81,0
2020-11-09,20,79,1
2020-11-10,19,89,1
2020-11-11,21,95,2
2020-11-12,17,100,2
2020-11-13,18,100,2
2020-11-14,16,101,2
2020-11-15,13,98,2
2020-11-16,12,91,2
2020-11-17,15,82,2
2020-11-18,14,73,2
2020-11-19,15,67,1
2020-11-20,14,56,1
2020-11-21,10,43,0
2020-11-22,11,35,0
2020-11-23,12,30,0
2020-11-24,11,20,0
2020-11-25,14,18,0
2020-11-26,14,17,0
2020-11-27,11,14,0
2020-11-28,11,12,0
2020-11-29,8,9,0
2020-11-30,8,6,0
2020-12-01,9,7,0
2020-12-02,8,7,0
2020-12-03,7,5,0
2020-12-04,7,8,1
2020-12-05,4,9,1
2020-12-06,4,8,1
2020-12-07,4,9,1
2020-12-08,4,10,1
2020-12-09,4,10,1
2020-12-10,4,10,1
2020-12-11,3,11,1
2020-12-12,3,10,1
2020-12-13,2,10,1
